Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
240.0,Bullet Girls 2,2016,Action,D3Publisher,0.0,0.0,0.06,0.0,0.06
241.0,Fate/stay night [R�alta Nua],2012,Misc,Kadokawa Shoten,0.0,0.0,0.06,0.0,0.06
242.0,Gal Gun: Double Peace,2015,Action,PQube,0.0,0.03,0.01,0.01,0.06
243.0,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,2016,Misc,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
244.0,Hyperdimension Neptunia Re;Birth 2,2014,Action,Idea Factory International,0.03,0.01,0.0,0.01,0.05
245.0,Demon Gaze 2,2016,Role-Playing,NIS America,0.01,0.0,0.04,0.0,0.05
246.0,Period Cube: Torikago no Amadeus,2016,Action,Idea Factory,0.02,0.0,0.03,0.01,0.05
247.0,Super Heroine Chronicle,2014,Misc,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
248.0,New Tokyo Legacy: Operation Babel,2015,Role-Playing,NIS America,0.01,0.0,0.04,0.0,0.05
249.0,Collar x Malice,2016,Action,Aksys Games,0.01,0.0,0.03,0.01,0.05
